show_id,tipo,titulo,director,elenco,anio,clasificacion,duracion,listado_en,plataforma
s74,Movie,Words On Bathroom Walls,Thor Freudenthal,"Charlie Plummer, Taylor Russell, Andy Garcia, AnnaSophia Robb, Beth Grant, Devin Bostick, Lobo Sebastian, Molly Parker, Walton Goggins",2020,PG-13,111,Drama,amazon
s80,Movie,Women of Valor,Buzz Kulik,"Susan Sarandon, Kristy McNichol, Terry O'Quinn",1986,16+,95,"Action, Drama",amazon
s81,Movie,Woman Of Desire,Robert Ginty,"Jeff Fahey, Bo Derek",1994,R,99,"Drama, Suspense",amazon
s82,Movie,Woke Up Like This,John Elbert Ferrer,"Vhong Navarro, Lovi Poe",2017,13+,104,Comedy,amazon
s83,Movie,"Wizard of Loneliness, The",Jenny Bowen,"Lukas Haas, Lea Thompson",1988,PG-13,111,Drama,amazon
s84,Movie,Within Our Gates,Oscar Micheaux,"Evelyn Preer, Flo Clements",1920,13+,78,Drama,amazon
s89,Movie,Winterset,Alfred Santell,"Burgess Meredith, Eduordo Ciannelli",1936,NR/Sin clasificacion,77,"Action, Drama",amazon
s90,Movie,Winds Of The Wasteland,Mack V. Wright,"John Wayne, Phyllis Fraser, Lew Kelly, Douglas Cosgrove, Lane Chandler, Sam Flint, Bob Kortman, Ed Cassidy, Jon Hall, Merrill McCormick, Christian J. Frank, Jack Rockwell, Arthur Millett, Tracy Layne, Yakima Canutt, Horace B. Carpenter, Herman Hack, Henry Hall, Lloyd Ingraham, Jack Ingram, Cliff Lyons, Murdock MacQuarrie, Clyde McClary, Bud McClure, Art Mix, George Morrell, Bud Pope, Francis Walker, Joe Yrigoyen",1936,13+,55,Western,amazon
s91,Movie,Wind,Carroll Ballard,"Matthew Modine, Jennifer Grey, Cliff Robertson, Jack Thompson, Stellan Skarsgård, Rebecca Miller, Ned Vaughn, James Rebhorn, Ron Palillo",1992,PG-13,126,"Action, Drama, Sports",amazon
s93,Movie,William Tecumseh Sherman: Beyond the March to the Sea,Jonathan Chase Cook,Jonathan Chase Cook,2019,13+,115,"Documentary, Special Interest",amazon
s94,Movie,William Lee Martin: The Nutcracker - A Christmas Stand-up Comedy Spectacular,Brandon Jones,William Lee Martin,2019,16+,55,"Arts, Entertainment, and Culture, Comedy",amazon
s95,Movie,William Lee Martin: Standing in the Middle,Brandon Jones,William Lee Martin,2019,18+,58,"Arts, Entertainment, and Culture, Comedy, Special Interest",amazon
s96,Movie,William and Kate: Into the Future,Alan Scales,"Prince William, Kate Middleton",2011,ALL,49,"Documentary, International, Special Interest",amazon
