show_id,gen1,gen2,gen3,gen4,gen5
s1228,Action-Adventure, Family, Survival,,
s1230,Action-Adventure, Western,,,
s1231,Action-Adventure, Animation, Family,,
s1232,Animation, Coming of Age, Fantasy,,
s1233,Action-Adventure, Animation,,,
s1234,Animation, Comedy, Family,,
s1235,Fantasy, Musical,,,
s1236,Coming of Age, Fantasy, Musical,,
s1237,Buddy, Comedy, Coming of Age,,
s1238,Animals & Nature, Comedy, Family,,
s1239,Animals & Nature, Comedy, Family,,
s1240,Comedy, Family, Science Fiction,,
s1241,Animation, Kids,,,
s1242,Action-Adventure, Comedy, Family,,
s1243,Action-Adventure, Coming of Age, Drama,,
s1244,Action-Adventure, Animation, Anthology,,
s1246,Animals & Nature, Documentary, Family,,
s1247,Comedy, Family, Western,,
s1248,Comedy, Family, Western,,
s1249,Action-Adventure, Animation, Comedy,,
s1250,Animation, Comedy, Family,,
s1253,Animation, Family, Kids,,
s1254,Animals & Nature, Drama, Family,,
s1255,Animation, Family, Musical,,
s1256,Animals & Nature, Drama, Family,,
s1257,Action-Adventure, Animation, Coming of Age,,
s1258,Action-Adventure, Science Fiction, Thriller,,
s1259,Animation, Family, Kids,,
s1262,Action-Adventure, Animation, Kids,,
s1263,Action-Adventure, Family, Western,,
s1264,Coming of Age, Drama, Music,,
s1265,Coming of Age, Drama, Music,,
s1266,Comedy, Coming of Age, Music,,
s1267,Crime, Drama, Family,,
s1268,Action-Adventure, Family, Fantasy,,
s1269,Action-Adventure, Family, Fantasy,,
s1270,Biographical, Drama,,,
s1271,Comedy, Crime, Science Fiction,,
s1272,Comedy, Music,,,
s1273,Action-Adventure, Animation, Family,,
s1274,Action-Adventure, Comedy,,,
s1275,Animals & Nature, Documentary,,,
s1276,Action-Adventure, Animation, Buddy,,
s1277,Action-Adventure, Animation, Buddy,,
s1278,Comedy, Family, Sports,,
s1279,Comedy, Family, Fantasy,,
s1280,Animation, Family, Fantasy,,
s1281,Animation, Family, Fantasy,,
s1282,Action-Adventure, Animation, Buddy,,
s1283,Comedy, Crime, Family,,
s1284,Biographical, Sports,,,
s1285,Comedy, Family, Fantasy,,
s1286,Animation, Comedy, Family,,
s1287,Action-Adventure, Animation, Family,,
s1288,Action-Adventure, Animation, Family,,
s1290,Action-Adventure, Animals & Nature, Family,,
s1291,Action-Adventure, Animation, Family,,
s1292,Action-Adventure, Coming of Age, Drama,,
s1293,Action-Adventure, Animation, Kids,,
s1294,Action-Adventure, Coming of Age, Family,,
s1295,Animation, Family, Fantasy,,
s1296,Action-Adventure, Animation, Comedy,,
s1297,Action-Adventure, Animation, Family,,
s1298,Animation, Family, Fantasy,,
s1299,Animation, Drama, Fantasy,,
s1300,Animation, Drama, Family,,
s1301,Animation, Family, Kids,,
s1302,Animals & Nature, Documentary, Family,,
s1303,Comedy, Coming of Age, Family,,
s1304,Documentary, Historical,,,
s1305,Action-Adventure, Comedy, Family,,
s1306,Animation, Kids, Musical,,
s1307,Comedy, Family,,,
s1308,Drama, Music,,,
s1309,Comedy, Drama, Family,,
s1310,Action-Adventure, Comedy, Family,,
s1311,Comedy, Family, Kids,,
s1314,Action-Adventure, Animation, Family,,
s1315,Animation, Comedy, Family,,
s1316,Comedy, Family, Romance,,
s1317,Comedy, Family, Romance,,
s1318,Animation, Family, Musical,,
s1319,Documentary, Family,,,
s1320,Comedy, Coming of Age, Science Fiction,,
s1321,Action-Adventure, Coming of Age, Family,,
s1322,Animation, Comedy, Family,,
s1323,Comedy, Coming of Age, Family,,
s1324,Comedy, Family, Romance,,
s1325,Animation, Comedy, Family,,
s1326,Animation, Comedy, Family,,
s1328,Action-Adventure, Animation, Comedy,,
s1329,Action-Adventure, Animation, Family,,
s1330,Biographical, Family, Sports,,
s1331,Comedy, Family, Fantasy,,
s1332,Comedy, Family, Fantasy,,
s1333,Comedy, Family, Fantasy,,
s1334,Comedy, Fantasy,,,
s1335,Fantasy,,,,
s1336,Comedy, Family, Fantasy,,
s1337,Comedy, Family, Fantasy,,
s1338,Action-Adventure, Drama, Family,,
s1339,Animation, Comedy, Family,,
s1340,Biographical, Family, Historical,,
s1341,Action-Adventure, Family,,,
s1342,Comedy, Family, Science Fiction,,
s1343,Comedy, Coming of Age,,,
s1346,Comedy, Coming of Age, Fantasy,,
s1347,Coming of Age, Fantasy,,,
s1348,Animation, Family, Musical,,
s1349,Action-Adventure, Comedy, Family,,
