show_id,plataforma,director1,director2,director3,director4,director5,director6,director7,director8,director9,director10,director11,director12,director13,director14,director15,director16,director17,codireccion
s784,amazon,Anubhav Sushila Sinha,,,,,,,,,,,,,,,,,0
s785,amazon,Anubhav Sushila Sinha,,,,,,,,,,,,,,,,,0
s788,amazon,Joseph Kane,,,,,,,,,,,,,,,,,0
s789,amazon,Tester,,,,,,,,,,,,,,,,,0
s790,amazon,Don Bitters, Geoff Reisner,,,,,,,,,,,,,,,,1
s791,amazon,Roy William Neill,,,,,,,,,,,,,,,,,0
s792,amazon,Earl Goshorn,,,,,,,,,,,,,,,,,0
s793,amazon,Mitsuru Hongo,,,,,,,,,,,,,,,,,0
s795,amazon,Brian Vance,,,,,,,,,,,,,,,,,0
s798,amazon,Sameh Zoabi,,,,,,,,,,,,,,,,,0
s799,amazon,Bauddhayan Mukherji,,,,,,,,,,,,,,,,,0
s802,amazon,Blaine Thurier,,,,,,,,,,,,,,,,,0
